,name,isactual,public,genre,famous,books
0,Daniel Jensen,FALSE,adult,Romance,TRUE,"[Book(El susurro del corazon), Book(El baile de los sentimientos), Book(El destello de tus ojos), Book(Entre suenos y promesas), Book(El latido eterno), Book(Bajo el cielo estrellado), Book(El abrazo del destino), Book(Entre ruinas y rosas), Book(Las sombras del pasado), Book(El beso robado), Book(El jardin de los suspiros), Book(El secreto del corazon), Book(Bajo el manto de la luna), Book(El susurro de tus palabras), Book(El fuego de la tentacion), Book(Entre susurros y gemidos), Book(La danza de la lujuria), Book(Amor en tiempos eroticos), Book(Bajo la piel del deseo), Book(Noches de extasis), Book(Destino ardiente), Book(Bajo la sombra del pecado), Book(Entre llamas y suspiros), Book(Susurros del pasado), Book(La promesa olvidada), Book(El amor entre los siglos), Book(El jardin de los enamorados), Book(El destino de dos corazones), Book(La dama y el pirata), Book(El secreto del castillo), Book(El beso del caballero), Book(El encuentro en la mansion), Book(El amor en tiempos de guerra), Book(El suspiro de la princesa), Book(El amor en la corte)]"
1,Samuel Schilling,TRUE,adult,Romance,TRUE,"[Book(El suspiro del amor), Book(El perfume de la pasion), Book(La melodia del amor perdido), Book(El eco del amor), Book(El susurro del viento), Book(El hechizo de tus labios), Book(La promesa eterna), Book(El baul de los recuerdos), Book(El refugio de los enamorados), Book(Seduccion en la penumbra), Book(El perfume del deseo), Book(Secretos entre sabanas), Book(Bajo el hechizo del placer), Book(Noches de pasion prohibida), Book(Despertar de los sentidos), Book(El juego del deseo), Book(El arte del placer), Book(Labios prohibidos), Book(El abrazo del deseo), Book(El instante eterno), Book(Pasion adictiva), Book(El susurro del amor), Book(El vertigo del placer), Book(Bajo el cielo eterno), Book(El suspiro del caballero), Book(El encanto de la condesa), Book(La pasion prohibida), Book(El susurro de la marquesa), Book(La promesa del duque), Book(El corazon del corsario), Book(La venganza del conde), Book(El baile de los amantes), Book(El encuentro en el bosque), Book(La pasion de la doncella)]"
2,Terrance Fernandez,TRUE,adult,Historical,TRUE,"[Book(El susurro de la historia), Book(La memoria de los siglos), Book(El lienzo de la vida), Book(El retrato de una era), Book(El reflejo de los recuerdos), Book(El susurro de los antepasados), Book(El susurro del destino), Book(El eco de los acontecimientos), Book(El legado de una epoca), Book(El suspiro de la historia), Book(El latido de la memoria), Book(El retrato de una generacion), Book(El susurro de los ancestros), Book(La huella del tiempo), Book(El susurro del legado), Book(El eco de los momentos), Book(El suspiro del pasado), Book(La memoria de los hombres), Book(Los secretos enterrados), Book(El amanecer de la revolucion), Book(La fuerza de la resistencia), Book(Los hilos del destino), Book(El despertar de la civilizacion), Book(El secreto de la realeza), Book(La lucha por la igualdad), Book(El susurro de los dioses), Book(La busqueda del tesoro perdido), Book(El destino de los elegidos), Book(La danza de la revolucion), Book(La balada de los valientes), Book(El ultimo acto), Book(La caida de una dinastia), Book(La conspiracion del poder), Book(El ultimo testamento), Book(El misterio de la realeza), Book(El despertar de la conciencia), Book(La batalla por la libertad), Book(La caida de una era), Book(La pasion en tiempos oscuros), Book(La busqueda de la reliquia perdida), Book(El destino de los olvidados), Book(El legado de los martires), Book(El renacer de una civilizacion), Book(El grito de la emancipacion), Book(La caida de un linaje), Book(El amor en epocas turbulentas), Book(El ultimo legado), Book(La sombra del reino), Book(El misterio de la monarquia), Book(La fuerza de la fe), Book(La batalla por la independencia), Book(El ultimo respiro), Book(La pasion en tiempos de adversidad), Book(El rastro de la codicia), Book(El susurro de los dioses antiguos), Book(La danza de la insurreccion), Book(La balada de los heroes caidos), Book(El amor en tiempos de conflicto), Book(La llama de la revolucion)]"
3,Susanna Doyle,FALSE,adult,Historical,TRUE,"[Book(El eco de los tiempos), Book(El legado de los ancestros), Book(La sombra del pasado), Book(El suspiro de la nostalgia), Book(El latido de la historia), Book(El tesoro olvidado), Book(La melodia del tiempo), Book(La huella de los anos), Book(La mirada del pasado), Book(La memoria de la humanidad), Book(El reflejo de la vida pasada), Book(El tesoro de la historia), Book(La melodia de los siglos), Book(La mirada de la historia), Book(El legado de una era), Book(El latido de la nostalgia), Book(El retrato de una epoca), Book(La melodia del pasado), Book(El eco de los ancestros), Book(El legado perdido), Book(El laberinto del tiempo), Book(El destino de los valientes), Book(El vuelo de las aguilas), Book(El amargo sabor de la guerra), Book(La melodia de la libertad), Book(El ultimo suspiro), Book(La caida de un imperio), Book(La esperanza en ruinas), Book(El rastro de la traicion), Book(El legado de los antepasados), Book(El misterio de la historia), Book(La guerra en las sombras), Book(El despertar de la esperanza), Book(El renacimiento de una nacion), Book(El grito de la libertad), Book(La senda de la venganza), Book(El rugido del leon), Book(El destino de los desterrados), Book(La llama de la rebelion), Book(La sombra del imperio), Book(La promesa incumplida), Book(La fuerza de la esperanza), Book(El legado oculto), Book(El ultimo aliento), Book(El secreto del trono), Book(El rastro de la ambicion), Book(La lucha por los derechos), Book(El susurro de los antiguos), Book(La danza de la revuelta), Book(La balada de los caidos), Book(El enigma de la historia), Book(La guerra en la penumbra), Book(El ultimo capitulo), Book(El rugido del tigre), Book(El legado escondido), Book(La caida de una epoca), Book(El secreto del poder), Book(La lucha por la justicia), Book(La busqueda del objeto perdido), Book(El destino de los abandonados), Book(La guerra en las tinieblas), Book(El renacimiento de una sociedad), Book(El grito de la liberacion)]"
4,Mathias Blanc,TRUE,adult,Mystery,TRUE,"[Book(La sombra del detective), Book(El enigma de la calle desierta), Book(La noche del misterio sin resolver), Book(El silencio de la victima), Book(El puzzle del asesinato perfecto), Book(El detective y la sombra del pasado), Book(El caso del testigo desaparecido), Book(El secreto del informante anonimo), Book(La red de enganos policiales), Book(El misterio de la casa abandonada), Book(La traicion del detective leal), Book(El caso del asesinato sin motivo), Book(El secreto del jurado manipulado), Book(La red de conspiraciones policiales), Book(El enigma del cadaver sin identidad), Book(La trampa del detective enmascarado), Book(El secreto de la victima olvidada), Book(El laberinto de las pruebas falsas), Book(El misterio de la marca de fuego), Book(El caso del detective sin rostro), Book(El secreto del testigo amenazado), Book(La red de mentiras policiales), Book(El misterio de la casa encantada), Book(La trampa del detective traicionado), Book(El secreto de la victima desconocida), Book(El enigma de la sombra nocturna), Book(El susurro de los secretos ocultos), Book(El juego del destino incierto), Book(La sombra del pasado eterno), Book(El laberinto de las mentiras), Book(El susurro de la muerte silenciosa), Book(La oscuridad tras el espejo roto), Book(La sombra del pasado olvidado), Book(El enigma de los suspiros perdidos), Book(La trampa del laberinto infernal), Book(El susurro de la noche eterna), Book(El misterio de la habitacion vacia), Book(La oscuridad tras la sonrisa falsa), Book(La sombra del pasado oscuro), Book(La trampa del laberinto siniestro), Book(El secreto bajo la mascara de porcelana), Book(La oscuridad tras el espejo maldito), Book(Sombras en la oscuridad), Book(El misterio de la casa embrujada), Book(El secreto de la tumba olvidada), Book(La puerta hacia lo desconocido), Book(El susurro de los espiritus), Book(El fantasma de la mansion abandonada), Book(La sombra que acecha en la penumbra), Book(El enigma de la llave ancestral), Book(La sombra del monstruo invisible)]"
5,Nihal Ekici,FALSE,adult,Mystery,TRUE,"[Book(El secreto detras del crimen), Book(El caso del inspector perdido), Book(El laberinto de las pistas ocultas), Book(El misterio de la habitacion cerrada), Book(El enigma de la carta anonima), Book(La traicion del alguacil), Book(La conspiracion del juez corrupto), Book(El enigma del reloj sin agujas), Book(El caso del detective sin nombre), Book(La trampa del inspector infiltrado), Book(El secreto de la victima silenciosa), Book(La sombra del crimen perfecto), Book(El laberinto de los sospechosos), Book(El misterio de la marca de sangre), Book(El enigma del testigo misterioso), Book(El misterio de la mansion embrujada), Book(La sombra del crimen insoluble), Book(El enigma de la coartada perfecta), Book(La traicion del inspector corrupto), Book(El enigma del asesinato sin rastro), Book(La trampa del laberinto mortal), Book(La oscuridad tras la sonrisa), Book(El enigma de la noche eterna), Book(El secreto bajo la luna de sangre), Book(El misterio de la mente perturbada), Book(El juego del destino implacable), Book(El secreto bajo la piel palida), Book(El juego del destino traicionero), Book(El enigma de los secretos prohibidos), Book(El susurro de la muerte acechante), Book(El misterio de la mente atormentada), Book(El laberinto de los suenos perdidos), Book(El misterio de la mirada perdida), Book(El secreto del espejo encantado), Book(La criatura de la oscuridad), Book(El espiritu que vaga sin descanso), Book(Los secretos ocultos del viejo cementerio), Book(El susurro de los muertos)]"
6,Vedat Kutlay,FALSE,adult,Fantasy,TRUE,"[Book(El Reino de las Sombras Perdidas), Book(La Espada de la Eternidad), Book(El Laberinto de las Almas Errantes), Book(La Cancion de los Elementos), Book(El Destino de los Portales), Book(El Enigma de la Luna Magica), Book(El Legado de los Guardianes), Book(La Profecia de los Heroes), Book(El Misterio de la Piedra Encantada), Book(La Senda de los Secretos Prohibidos), Book(La Guerra de las Razas Miticas), Book(La Llave del Portal Dimensional), Book(El Ultimo Suspiro del Inmortal), Book(El Laberinto de la Oscuridad), Book(El Velo de la Pesadilla), Book(El Legado de la Muerte), Book(El Resplandor de la Luna Negra), Book(La Sombra del Caos), Book(La Profecia de la Tormenta), Book(El Manto de las Tinieblas), Book(La Marca del Destino), Book(La Corona de los Pesares), Book(El Bosque de los Lamentos), Book(La Cosecha de las Almas), Book(El Sueno de las Sombras), Book(El Laberinto de los Suenos), Book(El Portal de los Destinos), Book(El Bosque de los Susurros), Book(El Laberinto de los Recuerdos), Book(El Portal de las Pesadillas), Book(Las Calles del Silencio), Book(La Torre de los Misterios), Book(Las Calles del Despertar), Book(La Ciudad de los Suenos), Book(El Portal de las Maravillas)]"
7,Yuhim Shulika,TRUE,adult,Fantasy,TRUE,"[Book(El Susurro de los Dragones), Book(El Oraculo de los Suenos Olvidados), Book(Las Cronicas del Reino de Cristal), Book(El Velo de los Dioses Antiguos), Book(El Despertar de los Seres de Luz), Book(El Laberinto de los Suenos Perdidos), Book(La Batalla de los Reinos Olvidados), Book(La Profecia de los Siete Reinos), Book(El Legado de los Elementales), Book(El Secreto de los Guardianes Celestiales), Book(La Espada del Destino), Book(El Misterio de la Isla Prohibida), Book(El Reino de las Sombras), Book(El Susurro de los Demonios), Book(La Danza de los Espectros), Book(El Jardin de las Almas Perdidas), Book(El Canto de los Condenados), Book(El Espejo de la Locura), Book(El Origen de los Vampiros), Book(La Ciudad de los Susurros), Book(El Ultimo Suspiro), Book(El Laberinto de las Pesadillas), Book(El Legado de las Criaturas), Book(La Senda de los Sacrificios), Book(El Eco de la Oscuridad), Book(La Cancion de los Condenados), Book(El Rostro del Miedo), Book(La Ciudad de los Mil Reflejos), Book(El Reino de los Susurros), Book(Las Calles del Olvido), Book(La Torre de los Secretos), Book(La Ciudad de los Suenos Perdidos), Book(El Reino de los Espejos), Book(El Bosque de las Sombras), Book(La Ciudad de los Deseos Prohibidos), Book(El Portal de las Ilusiones), Book(El Reino de los Encantamientos), Book(La Torre de los Enigmas), Book(El Bosque de los Encuentros), Book(El Reino de los Secretos Olvidados), Book(Las Calles del Misterio), Book(La Torre de los Suenos)]"
8,Antoniy Litvinyuk,FALSE,adult,Science_Fiction,TRUE,"[Book(El Origen de las Estrellas), Book(El Canto de las Galaxias), Book(El Sueno de los Exploradores), Book(El Misterio del Agujero Negro), Book(La Rebelion de los Androides), Book(El Secreto de la Nave Espacial), Book(La Profecia del Universo), Book(El Enigma de la Nebulosa), Book(La Odisea de los Cosmonautas), Book(El Exilio de los Humanos), Book(La Batalla por la Galaxia), Book(El Laberinto de la Realidad Virtual), Book(El Oraculo de los Algoritmos), Book(El Ultimo Bit de Libertad), Book(Los Susurros del Codigo Fuente), Book(El Vuelo de los Datos Perdidos), Book(El Cerebro Cibernetico), Book(La Guerra de los Megacorporaciones), Book(Despertar en el abismo), Book(La ciudad en ruinas), Book(El laberinto de la desolacion), Book(El legado de la devastacion), Book(El silencio de la civilizacion), Book(El amanecer sombrio), Book(La era de la desesperacion), Book(La rebelion en ruinas), Book(El Codigo de las Maquinas), Book(La Era de los Ciberpunks), Book(El Laberinto de la Inteligencia Artificial), Book(El Horizonte de los Androides), Book(El Viaje a la Realidad Virtual), Book(La Red de los Suenos), Book(La Revolucion de los Nanobots), Book(La Era de los Drones)]"
9,Konon Volyanskiy,TRUE,adult,Science_Fiction,TRUE,"[Book(El Viaje de los Astronautas), Book(El Destino de los Planetas), Book(La Danza de los Cometas), Book(La Guerra de las Constelaciones), Book(El Legado de los Extraterrestres), Book(El Laberinto de los Planetas), Book(La Alianza de las Razas), Book(Suenos Enredados en el Ciberespacio), Book(Ciudad de Neones y Circuitos), Book(El Reloj de los Hackers), Book(La Rebelion de los Cyborgs), Book(La Cibernetica de los Sentimientos), Book(La Ciudad de los Drones), Book(El Espejo Digital del Futuro), Book(El Lenguaje de las Maquinas), Book(El Amanecer de la Inteligencia Artificial), Book(El Resplandor de los Hologramas), Book(La Conexion de las Almas Digitales), Book(El ultimo eco), Book(Maquinas de cenizas), Book(El ocaso de la humanidad), Book(El renacer de la oscuridad), Book(El susurro del fin), Book(El camino hacia la nada), Book(El destino en llamas), Book(Las sombras del manana), Book(El olvido de la humanidad), Book(La ultima esperanza), Book(La Ultima Frontera Tecnologica), Book(La Conexion del Futuro), Book(El Legado de los Cyborgs), Book(La Rebelion de las Maquinas), Book(El Oraculo de los Datos), Book(La Ciudad de los Algoritmos), Book(La Guerra de los Hackers), Book(El Amanecer de la Realidad Aumentada)]"
