,title,isactual,length,public,cover,theme,goal,illustrated,bestseller,author,triggerw,genre,subgenre,rating,punctuation,saga,language,difficulty
0,El susurro del corazon,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,4.476065039911392,0,,,
1,El baile de los sentimientos,FALSE,long,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,3.566177150773725,0,,,
2,El destello de tus ojos,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,6.719614605532533,0,,,
3,Entre suenos y promesas,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,1.69619817838869,0,,,
4,El suspiro del amor,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,1.3492542432849173,0,,,
5,El latido eterno,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,4.558755810443682,0,,,
6,Bajo el cielo estrellado,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,9.176877872992982,0,,,
7,El perfume de la pasion,TRUE,very_long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,7.326345381530773,0,,,
8,La melodia del amor perdido,TRUE,very_long,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,9.695295973002164,0,,,
9,El abrazo del destino,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,7.492400514302809,0,,,
10,Entre ruinas y rosas,FALSE,long,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,6.358314683765296,0,,,
11,El eco del amor,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,8.577911599720174,0,,,
12,Las sombras del pasado,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,8.978702231119108,0,,,
13,El susurro del viento,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,8.131240426837364,0,,,
14,El beso robado,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,5.3012879380925435,0,,,
15,El jardin de los suspiros,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,4.130832680639243,0,,,
16,El secreto del corazon,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,4.803149730705405,0,,,
17,El hechizo de tus labios,TRUE,very_long,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,2.8309860915981204,0,,,
18,La promesa eterna,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,6.200748802848298,0,,,
19,Bajo el manto de la luna,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,1.9727150401095612,0,,,
20,El susurro de tus palabras,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Classic_Romance,6.710957608182163,0,,,
21,El baul de los recuerdos,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,3.2806633178965146,0,,,
22,El refugio de los enamorados,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Classic_Romance,1.4174229382685153,0,,,
23,Seduccion en la penumbra,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,5.689937274521004,0,,,
24,El perfume del deseo,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,5.475143524480696,0,,,
25,Secretos entre sabanas,TRUE,medium,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),{ 2 5},Romance,Erotic,8.220115775996184,0,,,
26,Bajo el hechizo del placer,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 4 1 5 2 3},Romance,Erotic,6.052328893918988,0,,,
27,Noches de pasion prohibida,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,9.913829808117274,0,,,
28,El fuego de la tentacion,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),{ 3 4},Romance,Erotic,3.9889831051418096,0,,,
29,Despertar de los sentidos,TRUE,very_long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,6.6858817131354416,0,,,
30,Entre susurros y gemidos,FALSE,long,adult,soft,,,FALSE,TRUE,Author(Daniel Jensen),,Romance,Erotic,5.297258957646345,0,,,
31,La danza de la lujuria,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),{ 3 5 6},Romance,Erotic,9.884290851811137,0,,,
32,Amor en tiempos eroticos,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),{ 3 6 1 2},Romance,Erotic,7.9803472911993145,0,,,
33,El juego del deseo,TRUE,short,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,3.590387850538572,0,,,
34,Bajo la piel del deseo,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Erotic,3.773390810246018,0,,,
35,Noches de extasis,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),{ 6 3 5},Romance,Erotic,3.1224085802925887,0,,,
36,El arte del placer,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,2.405846310083485,0,,,
37,Destino ardiente,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),{ 6 4},Romance,Erotic,7.820829653043623,0,,,
38,Labios prohibidos,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),{ 6},Romance,Erotic,6.48202711288646,0,,,
39,El abrazo del deseo,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 4 2},Romance,Erotic,9.776269941306117,0,,,
